,count,mean,std,min,25%,50%,75%,max
edt_ppg_share,9600.0,0.5653374612702439,0.18457815029278704,0.1311560024713537,0.46145328624627424,0.5500423750754067,0.6998588470442413,0.9736473295344582
edt_debt_service_ratio_change,9600.0,-0.08749187795375005,8.838917554139321,-47.664964960000006,-3.07369935,-0.0273539800000008,2.6450743250000004,80.91240514
ir_policy_rate,9600.0,10.087944324969337,7.7331692555706475,0.5,6.25,8.37,12.375,133.0
ir_lending_rate,9600.0,13.96293403671893,8.221268245445973,0.7065711282,9.46,12.09,16.00256168515,74.2
ir_deposit_rate,9600.0,6.929566532315212,4.040024232549755,0.0253198959,4.5303,6.32,8.504311921421845,42.3
ir_spread,9600.0,7.009529596534191,5.992211045121917,-1.3439999999999994,4.06,5.6,7.380096524825801,49.3902798863795
edt_total_debt_6m_pct_change,9600.0,3.519849966730891,8.938193323490403,-64.03722179764333,0.0,0.0,5.937366988912863,88.27613101240675
edt_debt_service_6m_pct_change,9600.0,6.628471413491414,33.12200608752576,-77.88810915129221,0.0,0.0,7.231012509415841,550.027829651842
fx_3m_depreciation,9600.0,2.009510673503681,19.462108209597947,-39.15925651512574,-0.8922877322150885,0.14733497707642979,2.564643970893965,895.0248756218905
fx_6m_depreciation,9600.0,4.148396795489183,28.181071733771393,-39.739970146422095,-1.109572700582631,0.6072297940895477,4.709313978312219,895.0248756218905
cpi_inflation_acceleration,9600.0,-0.02970010369957561,5.473803932408384,-121.90593526721196,-0.7375237347532089,0.0,0.6841554826279905,145.24258932993192
ir_real_rate,9600.0,1.296430105007738,15.440941970742573,-259.5055940519622,0.16866642995552888,2.4480752025705037,4.858592510289275,95.74999416930594
edt_debt_to_gni_pctile,9600.0,0.515625,0.2872319363967519,0.03125,0.2734375,0.515625,0.7578125,1.0
fx_3m_depreciation_pctile,9600.0,0.515625,0.2873885360492689,0.03125,0.265625,0.515625,0.75,1.0
debt_stress_index,9600.0,1.02609375,0.417083951290641,0.03125,0.71875,1.03125,1.328125,2.0
bop_current_account_balance_usd,9600.0,-623.6026611526703,5520.239164467221,-31857.18664421361,-1616.978379549395,-428.34141401473346,132.4192348008481,77221.277618104
bop_fdi_liabilities_usd,9600.0,2079.080901617591,5601.101367272051,-87419.0804270899,321.83662432127926,820.7248406677397,1936.665594171014,138458.6162809225
bop_other_investment_loans_liabilities_usd,9600.0,388.57725720119277,2632.3725577611276,-31037.85,-174.364495875,63.61156724122742,559.977970359044,39341.98
bop_portfolio_liabilities_usd,9600.0,683.3807042210141,3161.3583253511742,-24770.5515269782,-85.615,75.37135031103729,858.8525,25277.74349787
bop_reserve_assets_usd,9600.0,901.553590922287,5301.017095517595,-124830.2781855035,-187.0032106543757,265.6854917132309,1160.3829279739416,65548.1052097343
bop_workers_remittances_credit_usd,9600.0,1603.7680516825646,2511.499644974801,0.0,306.0025,819.8119718309858,1558.887326021015,23572.746891232
bop_total_liability_inflows_usd,9600.0,3212.724710322931,7659.211532492708,-81970.72151791223,317.9633286318758,1315.5428563700002,3422.874878522697,141844.08746986376
bop_current_account_balance_usd_3m_change,9600.0,-7.186796526441235,3191.6055347768533,-32090.10918,-400.08948808668856,-1.0,427.3098008660706,29738.32313798999
bop_reserve_assets_usd_3m_change,9600.0,-63.3223308959567,5774.088491654412,-133736.60759240054,-785.6233377571062,0.0,675.5490892371403,94314.18063310848
bop_total_liability_inflows_usd_3m_change,9600.0,-6.8901426995483686,7711.94106915244,-122267.5225495645,-777.7642949964157,0.9214486578093144,868.4370343475739,136399.2143494404
bop_reserve_assets_3m_pct_change,9600.0,19.427262391039303,2816.352254500775,-50281.839843659385,-116.79150126794339,-57.392359715677316,0.4944296130613645,81897.91800086592
bop_financing_gap_usd,9600.0,2589.1220491702607,8041.993435717971,-83746.72974649529,-59.234887526132816,771.2018899840895,2898.222121807201,140536.67376000382
bop_reserves_to_external_debt_ratio,9600.0,1.9348370107312054e-08,1.194237112368754e-07,-3.6369848079253375e-06,-4.199279295512639e-09,6.565938171160648e-09,2.7250039948336835e-08,2.2538473431651327e-06
total_past_defaults,9600.0,0.24145833333333333,0.5297975506402541,0.0,0.0,0.0,0.0,3.0
has_defaulted_before,9600.0,0.1984375,0.3988441162609249,0.0,0.0,0.0,0.0,1.0
years_since_last_default,9600.0,80.54754791666666,37.16250400406875,0.08,99.0,99.0,99.0,99.0
currently_in_default,9600.0,0.026875,0.16172649412501855,0.0,0.0,0.0,0.0,1.0
global_vix,9600.0,19.935533333333336,7.938296139961196,9.51,13.9875,17.884999999999998,23.725,59.89
global_us_10y,9600.0,3.2633,1.3043930939227277,0.55,2.2075,3.3049999999999997,4.285,6.68
global_fed_funds,9600.0,1.9196,2.0190066362105408,0.05,0.14,1.2149999999999999,3.5300000000000002,6.54
global_brent_oil,9600.0,66.82436666666666,28.91251212981971,14.85,45.0425,66.405,86.0575,138.4
global_dxy,9600.0,106.16935565532879,11.004903398579861,85.5999,94.74685,108.40445942622057,115.23755,129.2775
global_vix_3m_change,9600.0,-0.04886666666666672,7.366918758610832,-23.11,-3.8225,-0.5650000000000004,2.8375000000000004,39.76
global_us_10y_3m_change,9600.0,-0.0248,0.45317290915527075,-1.6,-0.3225,-0.00999999999999995,0.2699999999999999,1.4299999999999995
global_us_10y_6m_change,9600.0,-0.05556666666666666,0.6189695099339483,-1.79,-0.4599999999999999,-0.05500000000000035,0.3600000000000003,1.5100000000000002
global_fed_funds_6m_change,9600.0,0.0014333333333333299,0.8796674852499979,-2.51,-0.0825,0.0099999999999999,0.3224999999999997,3.01
global_fed_funds_12m_change,9600.0,-0.0325,1.5395818666769303,-4.58,-0.4825,0.03,0.6724999999999999,4.5
global_dxy_3m_pct_change,9600.0,0.2381247735417285,2.949776370673282,-9.20665901700588,-1.7318479367300215,0.0371792812532523,1.9068797012404046,14.86298696588748
global_dxy_6m_pct_change,9600.0,0.4524742669901667,4.300804420965514,-9.824032387799676,-2.439123729574619,0.2577439031057449,3.256838014630431,17.569398791342515
global_brent_3m_pct_change,9600.0,3.348553361102253,22.57555401092429,-78.08764940239044,-7.411132246348206,2.432214942946742,13.806337032731514,180.40404040404044
global_brent_6m_pct_change,9600.0,5.849205536627678,27.647459865416216,-75.65174618789966,-9.481748152058179,4.926683643572494,21.176298569068422,171.38047138047136
global_yield_curve,9600.0,1.3437000000000001,1.3504280583678554,-1.4500000000000002,0.23750000000000013,1.46,2.43,3.73
global_real_rate,9600.0,-0.744739579772079,2.11908304760269,-8.372204966013854,-1.5809113978922276,-0.7838977227982233,0.4831188264339078,3.843671521848303
global_tightening_dummy,9600.0,0.15333333333333332,0.36032727731768005,0.0,0.0,0.0,0.0,1.0
global_risk_composite,9600.0,0.5016666666666666,0.17006177845072976,0.1433333333333333,0.3899999999999999,0.47916666666666663,0.6195833333333334,0.8477777777777776
ctot_index,9600.0,99.7664999532681,3.4978555049337574,80.3133392334,99.11081504825,99.83850860595,100.72695159915,121.5500183105
ctot_yoy_change,9600.0,0.09087508295291746,2.311573394477431,-14.753692434190224,-0.3644958478143639,0.00769428659457275,0.3700396783072657,17.7179084558583
ctot_6m_change,9600.0,0.04250174717192717,1.7457846800203094,-17.35412924354093,-0.28318824985978097,-0.004943925519695851,0.2891033795862086,21.937858524793352
ctot_below_95,9600.0,0.07083333333333333,0.2565596008082249,0.0,0.0,0.0,0.0,1.0
