model,val__auroc,val__auprc,val__brier,val__precision_at_top10pct,val__recall_at_top10pct,val__f1_at_top10pct,val__top10_threshold,val__precision_at_top20pct,val__recall_at_top20pct,val__f1_at_top20pct,val__top20_threshold,test__auroc,test__auprc,test__brier,test__precision_at_top10pct,test__recall_at_top10pct,test__f1_at_top10pct,test__top10_threshold,test__precision_at_top20pct,test__recall_at_top20pct,test__f1_at_top20pct,test__top20_threshold,test__precision_at_val_top10_threshold,test__recall_at_val_top10_threshold,test__f1_at_val_top10_threshold,test__val_top10_threshold_used
transformer_encoder,0.8244212962962962,0.3274593232127477,0.0892711561831074,0.2597402597402597,0.4166666666666667,0.32,0.4398114025592815,0.19480519480519481,0.625,0.297029702970297,0.05938770547509197,0.6441381275489305,0.07601191396236473,0.0692718454622075,0.12931034482758622,0.29411764705882354,0.17964071856287425,0.12085948288440788,0.06493506493506493,0.29411764705882354,0.10638297872340426,0.03603800833225251,0.1388888888888889,0.19607843137254902,0.16260162601626016,0.4398114025592815
tcn,0.6740451388888888,0.296748676781254,0.12602689461202823,0.2597402597402597,0.4166666666666667,0.32,0.48600692152976993,0.14285714285714285,0.4583333333333333,0.21782178217821782,0.4202068269252777,0.5872736015387081,0.05002408075434276,0.1616150362881295,0.0,0.0,0.0,0.630555945634842,0.03463203463203463,0.1568627450980392,0.05673758865248227,0.3855695962905884,0.0,0.0,0.0,0.48600692152976993
extra_trees_tuned,0.5591724537037037,0.06490877569616775,0.16877600139379137,0.0,0.0,0.0,0.5608894814132057,0.0,0.0,0.0,0.4771889260782611,0.5300707022136738,0.04667087219089579,0.12182751236100708,0.017241379310344827,0.0392156862745098,0.023952095808383235,0.45087632271778233,0.06493506493506493,0.29411764705882354,0.10638297872340426,0.40441328525516107,0.0,0.0,0.0,0.5608894814132057
random_forest_tuned,0.6638888888888889,0.08593171297973005,0.12311121817470373,0.0,0.0,0.0,0.5485484674268448,0.06493506493506493,0.20833333333333334,0.09900990099009901,0.3854858517775138,0.47632277252408683,0.04275903060772972,0.1095116475849513,0.0,0.0,0.0,0.4397494123228276,0.047619047619047616,0.21568627450980393,0.07801418439716312,0.3842362914003296,0.0,0.0,0.0,0.5485484674268448
lightgbm_tuned,0.6623697916666665,0.1012958759433081,0.05912257753797969,0.0,0.0,0.0,0.05685112215999418,0.0,0.0,0.0,0.041889208888004244,0.4663763779808018,0.0529630324189902,0.04245104678163472,0.05945945945945946,0.21568627450980393,0.09322033898305085,0.05685112215999418,0.044,0.21568627450980393,0.07308970099667775,0.04489816328184365,0.05945945945945946,0.21568627450980393,0.09322033898305085,0.05685112215999418
attention_gru_seed_ensemble,0.7630208333333333,0.337341101240531,0.10304462810815278,0.2727272727272727,0.4375,0.336,0.39863090813159946,0.18181818181818182,0.5833333333333334,0.27722772277227725,0.34419886469841005,0.4253708749621556,0.036684650479861566,0.10177841540116112,0.0,0.0,0.0,0.37807951569557197,0.03463203463203463,0.1568627450980392,0.05673758865248227,0.3253407061100006,0.0,0.0,0.0,0.39863090813159946
attention_gru,0.8002893518518519,0.3584485305765765,0.09232024718493394,0.2727272727272727,0.4375,0.336,0.3796757012605667,0.17532467532467533,0.5625,0.26732673267326734,0.329768842458725,0.41240583426831223,0.034887970949075524,0.09710301354311292,0.0,0.0,0.0,0.36742431521415714,0.0,0.0,0.0,0.308091551065445,0.0,0.0,0.0,0.3796757012605667
xgboost_tuned,0.690552662037037,0.1764044983982704,0.24930435409960175,0.11428571428571428,0.5833333333333334,0.19112627986348124,0.5276816487312317,0.11428571428571428,0.5833333333333334,0.19112627986348124,0.5276816487312317,0.40151555626792046,0.04776531800333178,0.2449392988895961,0.01818181818181818,0.0784313725490196,0.02952029520295203,0.5276816487312317,0.01680672268907563,0.0784313725490196,0.02768166089965398,0.5233720541000366,0.01818181818181818,0.0784313725490196,0.02952029520295203,0.5276816487312317
catboost_tuned,0.7411168981481482,0.13343005760118706,0.21749224367430553,0.11235955056179775,0.20833333333333334,0.145985401459854,0.5420852108818287,0.14193548387096774,0.4583333333333333,0.21674876847290642,0.5238803644260556,0.3902690958308846,0.04267561350678423,0.20567437369684363,0.0,0.0,0.0,0.5166425881990788,0.0,0.0,0.0,0.5103897958425583,0.0,0.0,0.0,0.5420852108818287
flattened_window_xgboost_tuned,0.9031828703703705,0.4276954040848719,0.1548532512046218,0.2727272727272727,0.4375,0.336,0.6240543007850649,0.2597402597402597,0.8333333333333334,0.39603960396039606,0.534190559387207,0.3259692614557176,0.03095422730754451,0.18255047679620137,0.0,0.0,0.0,0.6521279931068421,0.017316017316017316,0.0784313725490196,0.028368794326241134,0.534298849105835,0.014285714285714285,0.0392156862745098,0.020942408376963352,0.6240543007850649
