iso3,year_month,fx_rate,fx_mom_pct_change,fx_yoy_pct_change,fx_3m_pct_change,fx_6m_pct_change,fx_volatility_3m
HUN,2010-04-01,197.66,1.0170184494301626,-11.640590075994627,4.826050063640208,8.957609834077495,3.1754454892132467
HUN,2010-05-01,219.74,11.1706971567338,6.370413399167396,10.934975767366728,21.002202643171806,6.602193027782325
HUN,2010-06-01,230.31,4.810230272139804,14.999750337044993,17.703275923749185,23.318697793960162,5.13064625905146
HUN,2010-07-01,222.23,-3.5083148799444297,14.984218968282704,12.430436102398046,17.85638523546882,7.3612400088823975
HUN,2010-08-01,217.76,-2.0114295999639986,15.156002115282918,-0.9010648948757694,9.93537964458804,4.434221134151929
HUN,2010-09-01,216.22,-0.7072005878030807,15.72468422179405,-6.11784117059615,10.502376450145668,1.4016609275679055
HUN,2010-10-01,197.55,-8.634723892331875,8.896973705969913,-11.105611303604368,-0.05565111808154555,4.25077770028267
HUN,2010-11-01,201.88,2.1918501645153077,11.167400881057276,-7.292432035268181,-8.127787385091478,5.604534277659498
HUN,2010-12-01,209.67,3.8587279572023014,12.26708074534162,-3.02932198686523,-8.961834049759032,6.783307041318154
HUN,2011-01-01,206.31,-1.6025182429532103,9.413449299957577,4.434320425208793,-7.163749268775588,2.798836759740893
HUN,2011-02-01,198.67,-3.703165139838116,0.2978594507269561,-1.5900534971270086,-8.7665319617928,3.903420607944885
HUN,2011-03-01,193.16,-2.7734433986006946,-1.2827720141053822,-7.874278628320686,-10.66506336139118,1.0526289011842405
HUN,2011-04-01,183.58,-4.959618968730572,-7.12334311443893,-11.017400998497406,-7.071627436092132,1.0971495160719142
HUN,2011-05-01,185.87,1.2474125721756213,-15.413670701738425,-6.442844918709412,-7.930453734892007,3.14838283649889
HUN,2011-06-01,185.31,-0.3012858449453981,-19.5388823759281,-4.063988403396146,-11.61825726141078,3.2307319817948326
HUN,2011-07-01,187.36,1.1062543845448136,-15.690950816721404,2.059047826560634,-9.185206727739804,0.8563062067938351
HUN,2011-08-01,189.7,1.2489325362937453,-12.885745775165326,2.0605799752515086,-4.515024915689336,0.8568064330360459
HUN,2011-09-01,206.69,8.956246705324201,-4.407547867912309,11.537423776374723,7.004555808656043,4.491574115151977
HUN,2011-10-01,216.55,4.770429145096533,9.617818273854727,15.579632792485043,17.959472709445468,3.8584258170368204
HUN,2011-11-01,228.58,5.555299007157699,13.225678620962956,20.495519240906713,22.978425781460167,2.2249919323279315
HUN,2011-12-01,230.88,1.0062122670399853,10.115896408642167,11.703517344815918,24.59122551400357,2.4317188562322403
HUN,2012-01-01,238.06,3.1098406098406084,15.389462459405756,9.933040868159782,27.060204953031587,2.276682862805654
HUN,2012-02-01,219.57,-7.766949508527265,10.51995771883023,-3.941727185230559,15.745914602003165,5.769144694318989
HUN,2012-03-01,220.96,0.6330555176025987,14.392213708842426,-4.29660429660429,6.904059219120429,5.700864146647194
HUN,2012-04-01,224.69,1.688088341781313,22.393506917964913,-5.616231202217925,3.7589471253751894,5.181230861643296
HUN,2012-05-01,229.38,2.0873203079798897,23.40883413138215,4.467823473152066,0.3499868754921698,0.751372799554316
HUN,2012-06-01,234.39,2.184148574417999,26.48534887485834,6.078023171614766,1.520270270270263,0.2629441101640812
HUN,2012-07-01,232.9,-0.635692649003794,24.306148590947906,3.653923183052199,-2.167520793077371,1.6008164480659806
HUN,2012-08-01,224.78,-3.4864748819235736,18.492356352134955,-2.0054058767111305,2.372819601949261,2.835325796930911
HUN,2012-09-01,221.01,-1.6771954800249178,6.928250036286232,-5.70843466018175,0.022628530050683437,1.442519753804148
HUN,2012-10-01,217.71,-1.4931451065562595,0.5356730547217747,-6.522112494632893,-3.10650229204682,1.1015693417026189
HUN,2012-11-01,220.27,1.175876165541312,-3.635488669174902,-2.0064062639024827,-3.971575551486606,1.596744965318375
HUN,2012-12-01,217.53,-1.243927906660014,-5.782224532224534,-1.5745893850956927,-7.193139639063095,1.4742927972124897
HUN,2013-01-01,220.95,1.5721969383533319,-7.187263715029834,1.4882182720132198,-5.130957492486054,1.5244168855394087
HUN,2013-02-01,219.04,-0.8644489703552805,-0.24138088081250286,-0.5584055931357024,-2.5536079722395244,1.5281692036675236
HUN,2013-03-01,233.91,6.788714390065742,5.860789283128165,7.529995862639627,5.836839961992668,3.9098211175989763
HUN,2013-04-01,229.53,-1.8725150698986726,2.1540789532244364,3.8832315003394458,5.429240733085283,4.736454413033991
HUN,2013-05-01,225.32,-1.8341828954820727,-1.7699886650972219,2.8670562454346182,2.2926408498660678,4.989534425689752
HUN,2013-06-01,224.23,-0.4837564352920265,-4.334655915354746,-4.138343807447309,3.0800349377097413,0.7909668687932527
HUN,2013-07-01,225.45,0.5440841992596868,-3.198797767282102,-1.7775454188994955,2.0366598778004175,1.1927742429834638
HUN,2013-08-01,224.9,-0.24395653138167273,0.053385532520699996,-0.1864015622226156,2.675310445580714,0.5377373208021724
HUN,2013-09-01,224.5,-0.17785682525567337,1.5791140672367865,0.1204120768853345,-4.022914796289168,0.43714532426835967
HUN,2013-10-01,216.35,-3.6302895322939843,-0.6246842129438268,-4.036371701042363,-5.742168779680224,1.9744582362784053
HUN,2013-11-01,220.69,2.0060087820660932,0.19067508058292493,-1.8719430858159192,-2.0548553168826533,2.841842690811989
HUN,2013-12-01,219.47,-0.5528116362318203,0.8918310118144701,-2.240534521158133,-2.1228203184230465,2.8221236336698623
HUN,2014-01-01,221.96,1.134551419328389,0.4571169947952036,2.593020568523241,-1.5480150809492055,1.300909550368361
HUN,2014-02-01,227.04,2.2887006667867915,3.652300949598253,2.877339254157407,0.9515340151178275,1.4290700201462332
HUN,2014-03-01,225.46,-0.6959126145172578,-3.61250053439357,2.729302410352208,0.42761692650334915,1.50502356036641
HUN,2014-04-01,222.51,-1.3084360862237299,-3.0584237354594257,0.24779239502612516,2.84723827131963,1.9245126769387224
HUN,2014-05-01,221.6,-0.4089703833535574,-1.6509852654003176,-2.3960535588442577,0.4123431057138971,0.4594488361171546
HUN,2014-06-01,225.18,1.6155234657039719,0.42367212237435226,-0.12419054377716954,2.6017223310702997,1.4976177392123404
HUN,2014-07-01,228.71,1.5676347810640312,1.4459968950987,2.7863916228484165,3.0410884844116026,1.1552659612249976
HUN,2014-08-01,235.63,3.0256656901753276,4.771009337483312,6.331227436823106,3.783474277660326,0.8283164201436501
HUN,2014-09-01,242.62,2.9665152994100996,8.071269487750566,7.744915178967937,7.611106182914917,0.8252494173743083
HUN,2014-10-01,242.72,0.04121671750061395,12.18858331407442,6.125661317826059,9.082737854478463,1.7062535095225715
HUN,2014-11-01,246.19,1.429630850362562,11.554669445828992,4.481602512413541,11.096570397111915,1.4632771101980129
HUN,2014-12-01,251.6,2.1974897436938923,14.639814097598759,3.7012612315555193,11.732835953459443,1.0929176888713705
HUN,2015-01-01,272.65,8.366454689984092,22.83744818886284,12.331081081081074,19.212102662760678,3.8027459545826194
HUN,2015-02-01,270.3,-0.8619108747478288,19.053911205074,9.793249116536007,14.713746127403148,4.700687744876785
HUN,2015-03-01,280.16,3.647798742138364,24.261509802182204,11.351351351351369,15.472755749732103,4.614577008045728
HUN,2015-04-01,277.92,-0.79954311821816,24.902251584198474,1.9328809829451732,14.50230718523402,2.5858660763391548
HUN,2015-05-01,274.34,-1.288140472078314,23.799638989169658,1.4946355900850694,11.434258093342532,2.7197142289684493
HUN,2015-06-01,278.37,1.46898009768901,23.621103117506003,-0.6389206167904171,10.639904610492845,1.4712035204520608
HUN,2015-07-01,283.05,1.6812156482379548,23.759345896550222,1.8458549222797993,3.8144140839904805,1.6564939648954724
HUN,2015-08-01,279.79,-1.1517399752693835,18.741246870092954,1.9865859881898595,3.5109137994820516,1.5779129250630328
HUN,2015-09-01,278.65,-0.4074484434754777,14.850383315472747,0.10058555160397109,-0.5389777270131568,1.468679970646841
HUN,2015-10-01,276.91,-0.6244392607213212,14.08618984838499,-2.1692280515809848,-0.36341393206678063,0.3827751608608357
HUN,2015-11-01,290.86,5.0377378931782735,18.144522523254402,3.956538832695955,6.021724866953426,3.208254701489902
HUN,2015-12-01,288.99,-0.6429209929175617,14.860890302066787,3.7107482504934675,3.815066278693835,3.2744077601083625
HUN,2016-01-01,289.75,0.2629848783694877,6.271777003484336,4.636885630710319,2.367072955308247,3.0520161964466928
HUN,2016-02-01,279.5,-3.5375323554788562,3.4036256011838573,-3.9056590799697477,-0.1036491654455185,1.9850848694148977
HUN,2016-03-01,280.29,0.28264758497318354,0.04640205596802005,-3.010484791861301,0.5885519468867839,2.199927750489456
HUN,2016-04-01,274.74,-1.9800920475222084,-1.1442141623488777,-5.180327868852452,-0.7836481167166287,1.9209106232351467
HUN,2016-05-01,278.05,1.2047754240372743,1.3523365167310786,-0.5187835420393472,-4.4041807054940545,1.6387846720176635
HUN,2016-06-01,279.36,0.47113828448119843,0.3556417717426541,-0.3317992079631793,-3.3322952351292456,1.667839640796211
HUN,2016-07-01,284.24,1.7468499427262252,0.4204204204204087,3.457814661134173,-1.9016393442622959,0.6402484506463465
HUN,2016-08-01,276.91,-2.578806642274134,-1.0293434361485332,-0.40999820176226276,-0.9266547406082237,2.2226451652096877
HUN,2016-09-01,275.41,-0.541692246578307,-1.162748968239713,-1.4139461626574978,-1.7410539084519616,2.1640457983730035
HUN,2016-10-01,278.12,0.9839875095312367,0.4369650789064927,-2.1531100478468956,1.2302540583824628,1.7875045896207924
HUN,2016-11-01,286.13,2.8800517762117117,-1.6262119232620553,3.3296016756346747,2.9059521668764576,1.7142097586100908
HUN,2016-12-01,295.78,3.372592877363423,2.3495622685905992,7.396245597472828,5.877720504009143,1.26115635053332
HUN,2017-01-01,290.98,-1.6228277774021027,0.42450388265746763,4.623903351071479,2.371235575569952,2.7529604830901353
HUN,2017-02-01,289.93,-0.36084954292391336,3.7316636851520535,1.3280676615524456,4.701888700299728,2.5976081590556794
HUN,2017-03-01,289.84,-0.03104197564930411,3.4071854151057623,-2.0082493745351315,5.239461166987391,0.8401531739699075
HUN,2017-04-01,290.44,0.2070107645597563,5.714493703137502,-0.18557976493230877,4.429742557169569,0.2851629555675857
HUN,2017-05-01,280.5,-3.4223936096956287,0.8811364862434834,-3.2525092263649857,-1.9676370880368999,2.030209805444338
HUN,2017-06-01,274.52,-2.1319073083779005,-1.7325315005727537,-5.285674855092459,-7.187774697410232,1.8397675921008536
HUN,2017-07-01,266.64,-2.8704648113070053,-6.19195046439629,-8.19446357251068,-8.364836071207648,0.6474884139906191
HUN,2017-08-01,257.57,-3.4015901590158992,-6.98421869921636,-8.174688057041003,-11.161314800124167,0.6376592430282586
