iso3,feature,country_raw,series_code,frequency,nonnull_count,indicator,bop_accounting_entry,unit
LBN,bop_other_investment_loans_liabilities_usd,Lebanon,LBN.L_NIL_T.O_F4.USD.Q,Quarterly,88,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
PHL,bop_reserve_assets_usd,Philippines,PHL.A_T.R_AFR.USD.Q,Quarterly,196,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
PHL,bop_workers_remittances_credit_usd,Philippines,PHL.CD_T.D752W_S1W.USD.Q,Quarterly,196,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
PHL,bop_fdi_liabilities_usd,Philippines,PHL.L_NIL_T.D_F.USD.Q,Quarterly,196,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
PHL,bop_portfolio_liabilities_usd,Philippines,PHL.L_NIL_T.P_F.USD.Q,Quarterly,196,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
PHL,bop_other_investment_loans_liabilities_usd,Philippines,PHL.L_NIL_T.O_F4.USD.Q,Quarterly,196,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
PHL,bop_current_account_balance_usd,Philippines,PHL.NETCD_T.CAB.USD.Q,Quarterly,196,Current account balance (credit less debit),Net (credits less debits),US dollar
EGY,bop_other_investment_loans_liabilities_usd,"Egypt, Arab Republic of",EGY.L_NIL_T.O_F4.USD.Q,Quarterly,59,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
EGY,bop_workers_remittances_credit_usd,"Egypt, Arab Republic of",EGY.CD_T.D752W_S1W.USD.Q,Quarterly,59,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
EGY,bop_portfolio_liabilities_usd,"Egypt, Arab Republic of",EGY.L_NIL_T.P_F.USD.Q,Quarterly,59,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
EGY,bop_reserve_assets_usd,"Egypt, Arab Republic of",EGY.A_T.R_AFR.USD.Q,Quarterly,59,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
EGY,bop_current_account_balance_usd,"Egypt, Arab Republic of",EGY.NETCD_T.CAB.USD.Q,Quarterly,59,Current account balance (credit less debit),Net (credits less debits),US dollar
EGY,bop_fdi_liabilities_usd,"Egypt, Arab Republic of",EGY.L_NIL_T.D_F.USD.Q,Quarterly,59,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
IND,bop_reserve_assets_usd,India,IND.A_T.R_AFR.USD.Q,Quarterly,204,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
IND,bop_other_investment_loans_liabilities_usd,India,IND.L_NIL_T.O_F4.USD.Q,Quarterly,204,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
IND,bop_fdi_liabilities_usd,India,IND.L_NIL_T.D_F.USD.Q,Quarterly,204,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
IND,bop_workers_remittances_credit_usd,India,IND.CD_T.D752W_S1W.USD.Q,Quarterly,204,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
IND,bop_portfolio_liabilities_usd,India,IND.L_NIL_T.P_F.USD.Q,Quarterly,204,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
IND,bop_current_account_balance_usd,India,IND.NETCD_T.CAB.USD.Q,Quarterly,204,Current account balance (credit less debit),Net (credits less debits),US dollar
COL,bop_fdi_liabilities_usd,Colombia,COL.L_NIL_T.D_F.USD.Q,Quarterly,120,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
COL,bop_current_account_balance_usd,Colombia,COL.NETCD_T.CAB.USD.Q,Quarterly,120,Current account balance (credit less debit),Net (credits less debits),US dollar
COL,bop_reserve_assets_usd,Colombia,COL.A_T.R_AFR.USD.Q,Quarterly,120,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
COL,bop_portfolio_liabilities_usd,Colombia,COL.L_NIL_T.P_F.USD.Q,Quarterly,120,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
COL,bop_other_investment_loans_liabilities_usd,Colombia,COL.L_NIL_T.O_F4.USD.Q,Quarterly,120,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
COL,bop_workers_remittances_credit_usd,Colombia,COL.CD_T.D752W_S1W.USD.Q,Quarterly,120,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
ROU,bop_workers_remittances_credit_usd,Romania,ROU.CD_T.D752W_S1W.USD.Q,Quarterly,136,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
ROU,bop_reserve_assets_usd,Romania,ROU.A_T.R_AFR.USD.Q,Quarterly,140,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
ROU,bop_portfolio_liabilities_usd,Romania,ROU.L_NIL_T.P_F.USD.Q,Quarterly,140,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
ROU,bop_other_investment_loans_liabilities_usd,Romania,ROU.L_NIL_T.O_F4.USD.Q,Quarterly,140,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
ROU,bop_fdi_liabilities_usd,Romania,ROU.L_NIL_T.D_F.USD.Q,Quarterly,140,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
ROU,bop_current_account_balance_usd,Romania,ROU.NETCD_T.CAB.USD.Q,Quarterly,140,Current account balance (credit less debit),Net (credits less debits),US dollar
ZAF,bop_other_investment_loans_liabilities_usd,South Africa,ZAF.L_NIL_T.O_F4.USD.Q,Quarterly,264,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
ZAF,bop_reserve_assets_usd,South Africa,ZAF.A_T.R_AFR.USD.Q,Quarterly,264,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
ZAF,bop_fdi_liabilities_usd,South Africa,ZAF.L_NIL_T.D_F.USD.Q,Quarterly,264,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
