iso3,year_month,bop_current_account_balance_usd,bop_fdi_liabilities_usd,bop_other_investment_loans_liabilities_usd,bop_portfolio_liabilities_usd,bop_reserve_assets_usd,bop_workers_remittances_credit_usd,bop_total_liability_inflows_usd,bop_current_account_balance_usd_3m_change,bop_reserve_assets_usd_3m_change,bop_total_liability_inflows_usd_3m_change,bop_reserve_assets_3m_pct_change
ROU,2009-08-01,-1698.598605375398,665.1546950104935,5543.971295105274,512.8291923363347,4648.074301961964,1195.247444316566,6721.955182452102,1151.151302599398,2229.001184755534,-1512.5683435206574,92.1427785254216
ROU,2009-09-01,-1698.598605375398,665.1546950104935,5543.971295105274,512.8291923363347,4648.074301961964,1195.247444316566,6721.955182452102,1151.151302599398,2229.001184755534,-1512.5683435206574,92.1427785254216
ROU,2009-10-01,-2898.945690959271,478.076607734679,945.7602457359955,451.0548864279363,-253.2063905699842,973.4748316916288,1874.891739898611,-1200.347085583873,-4901.280692531948,-4847.063442553492,-105.44755471019698
ROU,2009-11-01,-2898.945690959271,478.076607734679,945.7602457359955,451.0548864279363,-253.2063905699842,973.4748316916288,1874.891739898611,-1200.347085583873,-4901.280692531948,-4847.063442553492,-105.44755471019698
ROU,2009-12-01,-2898.945690959271,478.076607734679,945.7602457359955,451.0548864279363,-253.2063905699842,973.4748316916288,1874.891739898611,-1200.347085583873,-4901.280692531948,-4847.063442553492,-105.44755471019698
ROU,2010-01-01,-2303.267475499541,259.6936601556368,4281.581485053038,2031.127357538517,4101.034134973612,709.1117041555472,6572.402502747192,595.6782154597299,4354.240525543596,4697.51076284858,-1719.6408494042803
ROU,2010-02-01,-2303.267475499541,259.6936601556368,4281.581485053038,2031.127357538517,4101.034134973612,709.1117041555472,6572.402502747192,595.6782154597299,4354.240525543596,4697.51076284858,-1719.6408494042803
ROU,2010-03-01,-2303.267475499541,259.6936601556368,4281.581485053038,2031.127357538517,4101.034134973612,709.1117041555472,6572.402502747192,595.6782154597299,4354.240525543596,4697.51076284858,-1719.6408494042803
ROU,2010-04-01,-3296.913799219582,1187.655196878326,-568.2866264632848,-118.2790249835301,-1690.353484621611,789.337657730705,501.08954543151117,-993.646323720041,-5791.3876195952225,-6071.31295731568,-141.2177375020188
ROU,2010-05-01,-3296.913799219582,1187.655196878326,-568.2866264632848,-118.2790249835301,-1690.353484621611,789.337657730705,501.08954543151117,-993.646323720041,-5791.3876195952225,-6071.31295731568,-141.2177375020188
