iso3,year_month,cpi_index,cpi_mom_pct,cpi_yoy_pct,cpi_yoy_acceleration
ZAF,2012-07-01,54.1,0.0,4.844961240310086,-1.4666758405577518
ZAF,2012-08-01,54.4,0.5545286506469349,5.426356589147274,-0.46755303757177735
ZAF,2012-09-01,54.8,0.7352941176470562,5.384615384615388,-0.2794471153846123
ZAF,2012-10-01,55.2,0.7299270072992803,5.544933078393899,0.6999718380838127
ZAF,2012-11-01,55.3,0.18115942028984477,5.736137667304009,0.3097810781567345
ZAF,2012-12-01,55.5,0.3616636528029016,5.714285714285716,0.3296703296703285
ZAF,2013-01-01,55.7,0.3603603603603567,5.692599620493355,0.14766654209945607
ZAF,2013-02-01,56.2,0.8976660682226134,6.037735849056602,0.3015981817525937
ZAF,2013-03-01,56.9,1.245551601423478,6.156716417910446,0.4424307036247299
ZAF,2013-04-01,57.0,0.17574692442883233,5.75139146567718,0.05879184518382541
ZAF,2013-05-01,56.9,-0.17543859649122862,5.56586270871986,-0.47187314033674266
ZAF,2013-06-01,57.0,0.17574692442883233,5.360443622920519,-0.7962727949899273
ZAF,2013-07-01,57.6,1.0526315789473717,6.469500924214411,0.7181094585372305
ZAF,2013-08-01,57.8,0.3472222222222099,6.25,0.6841372912801402
ZAF,2013-09-01,58.1,0.519031141868509,6.021897810218979,0.6614541872984603
ZAF,2013-10-01,58.2,0.1721170395869276,5.434782608695654,-1.0347183155187567
ZAF,2013-11-01,58.3,0.1718213058419238,5.4249547920433905,-0.8250452079566095
ZAF,2013-12-01,58.4,0.17152658662091813,5.225225225225216,-0.7966725849937628
ZAF,2014-01-01,58.8,0.6849315068493178,5.565529622980248,0.13074701428459345
ZAF,2014-02-01,59.5,1.1904761904761862,5.871886120996428,0.44693132895303744
ZAF,2014-03-01,60.2,1.17647058823529,5.799648506151156,0.5744232809259397
ZAF,2014-04-01,60.6,0.6644518272425293,6.315789473684208,0.7502598507039604
ZAF,2014-05-01,60.7,0.16501650165017256,6.678383128295273,0.8064970072988453
ZAF,2014-06-01,60.9,0.32948929159801743,6.842105263157894,1.0424567570067378
ZAF,2014-07-01,61.4,0.8210180623973828,6.59722222222221,0.28143274853800193
ZAF,2014-08-01,61.6,0.32573289902280145,6.574394463667832,-0.10398866462744127
ZAF,2014-09-01,61.6,0.0,6.024096385542177,-0.8180088776157168
ZAF,2014-10-01,61.7,0.16233766233766378,6.013745704467355,-0.5834765177548551
ZAF,2014-11-01,61.7,0.0,5.831903945111505,-0.7424905185563269
ZAF,2014-12-01,61.6,-0.16207455429497752,5.47945205479452,-0.5446443307476567
ZAF,2015-01-01,61.5,-0.16233766233766378,4.591836734693877,-1.4219089697734777
ZAF,2015-02-01,61.9,0.6504065040650486,4.033613445378159,-1.798290499733346
ZAF,2015-03-01,62.7,1.292407108239102,4.152823920265791,-1.326628134528729
ZAF,2015-04-01,63.3,0.956937799043045,4.455445544554459,-0.1363911901394177
ZAF,2015-05-01,63.4,0.15797788309637184,4.448105436573302,0.4144919911951428
ZAF,2015-06-01,63.7,0.4731861198738141,4.597701149425304,0.44487722915951267
ZAF,2015-07-01,64.3,0.9419152276294973,4.723127035830621,0.2676814912761616
ZAF,2015-08-01,64.3,0.0,4.383116883116878,-0.06498855345642429
ZAF,2015-09-01,64.3,0.0,4.383116883116878,-0.2145842663084263
ZAF,2015-10-01,64.5,0.3110419906687367,4.538087520259304,-0.18503951557131693
ZAF,2015-11-01,64.6,0.15503875968991832,4.700162074554282,0.31704519143740395
ZAF,2015-12-01,64.8,0.3095975232198178,5.1948051948051965,0.8116883116883189
ZAF,2016-01-01,65.3,0.7716049382715973,6.178861788617884,1.6407742683585802
ZAF,2016-02-01,66.2,1.3782542113323304,6.946688206785145,2.246526132230864
